intern_id,department,education_background,gpa,prior_internships,python_skill_score,math_stat_score,sql_score,ml_knowledge_score,cloud_infra_score,hours_per_week,learning_style,preferred_time,mentor_interaction_pref,primary_device,courses_completed_count,completed_courses,avg_quiz_score_pct,session_completion_rate,engagement_score,dropout_risk,satisfaction_rating,days_since_joining,peers_similar_dept_took,recommended_course_1,recommended_course_2,recommended_course_3
INT_1271,Data Engineering,Computer Science,4.0,0,8.2,6.8,5.6,5.0,3.4,11.6,Mixed,Morning,Low,Tablet,3,"Python Fundamentals, Statistics & Probability, Data Wrangling & Pandas",68.4,0.78,6.9,Low,4.0,143,SQL & Databases,SQL & Databases,Business Intelligence & BI Tools,MLOps Pipelines
INT_1272,Cybersecurity,Electrical Engineering,3.35,1,3.9,7.3,7.1,2.6,5.9,9.5,Hands-on Projects,No Preference,Medium,Desktop,6,"Deep Learning, Docker & Kubernetes, Cybersecurity Essentials, System Design, Git & Version Control, APIs & Microservices",77.6,0.38,5.5,Medium,4.3,29,Python Fundamentals,Cloud Computing (AWS),Python Fundamentals,SQL & Databases
INT_1273,Backend Dev,Cognitive Science,3.46,0,3.1,5.7,2.9,5.5,2.7,6.0,Reading,Night Owl,Low,Laptop,5,"Python Fundamentals, Cloud Computing (AWS), Docker & Kubernetes, Data Wrangling & Pandas, Git & Version Control",77.3,0.86,6.6,Low,3.2,68,SQL & Databases,System Design,APIs & Microservices,SQL & Databases
INT_1274,ML Engineering,Computer Science,2.91,1,3.5,5.5,7.2,6.5,3.5,9.9,Reading,No Preference,High,Desktop,1,Statistics & Probability,63.4,0.57,5.7,Medium,4.4,31,Python Fundamentals,A/B Testing & Experimentation,MLOps Pipelines,Deep Learning
INT_1275,Software Engineering,Cognitive Science,3.38,1,6.1,7.4,5.1,5.0,4.0,10.4,Mixed,No Preference,Medium,Desktop,0,,63.7,0.8,6.6,Low,4.2,29,Python Fundamentals,SQL & Databases,Python Fundamentals,Frontend Basics (React)
INT_1276,Frontend Dev,Computer Science,2.74,0,6.5,1.9,6.5,6.5,3.4,5.9,Video,Afternoon,High,Mixed,0,,88.0,0.92,7.2,Low,4.0,68,Python Fundamentals,Python Fundamentals,SQL & Databases,Data Visualization
INT_1277,Data Engineering,Mathematics,3.65,3,3.3,6.6,4.0,6.1,2.8,5.2,Reading,Afternoon,Low,Desktop,7,"Cloud Computing (AWS), Docker & Kubernetes, NLP & Text Analytics, MLOps Pipelines, Git & Version Control, Reinforcement Learning, Business Intelligence & BI Tools",65.4,0.84,6.0,Low,3.9,66,Python Fundamentals,Time Series Analysis,Statistics & Probability,SQL & Databases
INT_1278,Cybersecurity,Computer Science,3.91,1,6.4,5.5,2.8,5.2,3.7,10.1,Reading,No Preference,Low,Laptop,1,System Design,65.2,0.88,6.9,Low,4.5,145,Python Fundamentals,Git & Version Control,Python Fundamentals,APIs & Microservices
INT_1279,Cybersecurity,Computer Science,3.29,0,5.0,6.7,5.1,8.1,4.3,6.4,Mixed,Night Owl,Low,Desktop,6,"Python Fundamentals, SQL & Databases, Cloud Computing (AWS), MLOps Pipelines, A/B Testing & Experimentation, APIs & Microservices",54.3,0.69,5.3,Medium,3.3,154,Docker & Kubernetes,Git & Version Control,System Design,Cybersecurity Essentials
INT_1280,Backend Dev,Bioinformatics,3.15,1,3.7,3.2,4.3,8.8,5.3,2.4,Peer-learning,Night Owl,Low,Mixed,6,"Python Fundamentals, SQL & Databases, Cloud Computing (AWS), Docker & Kubernetes, System Design, Data Wrangling & Pandas",42.2,0.88,4.9,Medium,4.7,101,Git & Version Control,Git & Version Control,APIs & Microservices,Cybersecurity Essentials
INT_1281,ML Engineering,Physics,3.11,3,7.7,8.7,2.8,5.2,4.8,5.7,Reading,Evening,Medium,Laptop,1,Cloud Computing (AWS),71.6,0.91,6.5,Low,4.8,131,Python Fundamentals,Deep Learning,Reinforcement Learning,NLP & Text Analytics
INT_1282,Cybersecurity,Bioinformatics,3.13,1,7.8,5.5,2.6,7.0,2.1,9.1,Mixed,No Preference,Low,Laptop,6,"SQL & Databases, Docker & Kubernetes, Cybersecurity Essentials, System Design, Git & Version Control, Time Series Analysis",55.4,0.85,6.3,Low,4.7,169,Python Fundamentals,Python Fundamentals,APIs & Microservices,Cloud Computing (AWS)
INT_1283,Backend Dev,Economics,2.9,1,5.5,5.6,5.5,3.8,2.6,2.5,Peer-learning,Afternoon,Medium,Desktop,8,"Python Fundamentals, SQL & Databases, Machine Learning Basics, Cloud Computing (AWS), Docker & Kubernetes, Frontend Basics (React), Data Wrangling & Pandas, Git & Version Control",58.5,0.71,4.9,Medium,5.0,41,System Design,System Design,APIs & Microservices,Business Intelligence & BI Tools
INT_1284,Data Engineering,Electrical Engineering,3.23,1,0.7,7.9,5.9,3.1,2.9,8.6,Peer-learning,Morning,Medium,Mixed,8,"Python Fundamentals, Docker & Kubernetes, Statistics & Probability, MLOps Pipelines, Data Wrangling & Pandas, APIs & Microservices, Time Series Analysis, Business Intelligence & BI Tools",48.5,0.77,5.7,Medium,5.0,46,SQL & Databases,SQL & Databases,Cloud Computing (AWS),System Design
INT_1285,ML Engineering,Computer Science,3.09,2,4.5,5.7,5.0,1.9,3.0,4.8,Peer-learning,Morning,High,Laptop,7,"Python Fundamentals, Machine Learning Basics, Cloud Computing (AWS), Frontend Basics (React), Statistics & Probability, MLOps Pipelines, A/B Testing & Experimentation",88.3,0.91,7.0,Low,5.0,22,SQL & Databases,SQL & Databases,Git & Version Control,Data Wrangling & Pandas
INT_1286,Data Science,Business Analytics,3.4,0,5.2,3.8,3.5,0.0,4.8,6.3,Peer-learning,Morning,Low,Tablet,8,"SQL & Databases, Machine Learning Basics, Deep Learning, Data Visualization, Statistics & Probability, NLP & Text Analytics, A/B Testing & Experimentation, Git & Version Control",94.9,0.41,5.7,Medium,3.6,48,Data Wrangling & Pandas,Data Wrangling & Pandas,Time Series Analysis,Business Intelligence & BI Tools
INT_1287,Cybersecurity,Statistics,3.17,1,9.3,8.6,4.1,7.6,3.1,8.2,Video,Night Owl,High,Desktop,6,"SQL & Databases, Cloud Computing (AWS), Docker & Kubernetes, Git & Version Control, APIs & Microservices, Time Series Analysis",64.7,0.76,6.2,Medium,5.0,127,Python Fundamentals,Cybersecurity Essentials,Python Fundamentals,System Design
INT_1288,DevOps,Information Systems,3.5,3,7.0,2.3,7.2,4.0,0.8,11.0,Mixed,Night Owl,Medium,Mixed,8,"Cloud Computing (AWS), Docker & Kubernetes, Cybersecurity Essentials, System Design, MLOps Pipelines, Git & Version Control, APIs & Microservices, Business Intelligence & BI Tools",71.3,0.8,6.9,Low,5.0,65,Python Fundamentals,Python Fundamentals,SQL & Databases,Deep Learning
INT_1289,DevOps,Statistics,3.23,0,8.3,8.1,0.0,4.4,5.9,10.2,Hands-on Projects,Morning,Low,Desktop,4,"SQL & Databases, Machine Learning Basics, Cloud Computing (AWS), MLOps Pipelines",78.4,0.81,7.1,Low,4.0,153,Python Fundamentals,Cybersecurity Essentials,Docker & Kubernetes,Git & Version Control
INT_1290,Cybersecurity,Business Analytics,3.67,0,3.9,7.5,6.8,2.4,5.3,2.7,Mixed,Morning,Low,Mixed,7,"Python Fundamentals, Docker & Kubernetes, Cybersecurity Essentials, System Design, Statistics & Probability, APIs & Microservices, Time Series Analysis",49.2,0.83,5.0,Medium,4.1,59,SQL & Databases,Cloud Computing (AWS),SQL & Databases,Git & Version Control
INT_1291,Frontend Dev,Business Analytics,4.0,0,3.3,7.7,2.3,5.4,1.2,10.3,Reading,Night Owl,Low,Laptop,2,"Deep Learning, Git & Version Control",67.7,0.21,4.6,High,5.0,58,Python Fundamentals,Data Visualization,APIs & Microservices,Python Fundamentals
INT_1292,DevOps,Computer Science,3.4,2,6.1,4.5,5.0,7.4,4.6,8.2,Peer-learning,Morning,High,Laptop,2,"Docker & Kubernetes, Frontend Basics (React)",53.0,0.74,5.7,Medium,4.2,77,Python Fundamentals,APIs & Microservices,System Design,Python Fundamentals
INT_1293,Frontend Dev,Cognitive Science,3.92,2,6.9,6.0,2.0,0.0,5.1,5.8,Mixed,Night Owl,Medium,Tablet,0,,67.0,0.59,5.3,Medium,4.2,135,Python Fundamentals,Git & Version Control,Python Fundamentals,APIs & Microservices
INT_1294,DevOps,Mathematics,3.55,2,7.4,3.4,7.0,0.7,4.5,7.3,Reading,Night Owl,Medium,Laptop,1,Machine Learning Basics,73.1,0.8,6.5,Low,5.0,70,Python Fundamentals,Cybersecurity Essentials,Docker & Kubernetes,Cloud Computing (AWS)
INT_1295,Frontend Dev,Cognitive Science,3.72,0,4.5,4.9,6.3,2.4,2.6,8.6,Reading,Morning,Low,Tablet,6,"Data Visualization, Frontend Basics (React), NLP & Text Analytics, Git & Version Control, Time Series Analysis, Reinforcement Learning",65.0,0.84,6.5,Low,5.0,19,Python Fundamentals,Python Fundamentals,APIs & Microservices,SQL & Databases
INT_1296,Backend Dev,Physics,3.26,3,8.2,5.6,2.2,4.7,0.0,8.0,Video,Afternoon,Low,Tablet,8,"SQL & Databases, Cloud Computing (AWS), Docker & Kubernetes, System Design, Frontend Basics (React), MLOps Pipelines, Data Wrangling & Pandas, Git & Version Control",57.3,0.67,5.6,Medium,3.3,69,Python Fundamentals,Python Fundamentals,APIs & Microservices,Time Series Analysis
INT_1297,Software Engineering,Physics,3.37,2,6.5,6.5,3.0,0.5,5.6,8.8,Video,Morning,High,Laptop,8,"SQL & Databases, Cloud Computing (AWS), Docker & Kubernetes, Cybersecurity Essentials, System Design, Data Wrangling & Pandas, Git & Version Control, Time Series Analysis",67.4,0.78,6.4,Low,5.0,70,Python Fundamentals,Frontend Basics (React),APIs & Microservices,Python Fundamentals
INT_1298,DevOps,Cognitive Science,3.37,2,10.0,0.8,9.5,5.9,2.3,8.7,Mixed,No Preference,Low,Desktop,7,"SQL & Databases, Docker & Kubernetes, Cybersecurity Essentials, System Design, MLOps Pipelines, Git & Version Control, APIs & Microservices",81.5,0.65,6.4,Medium,5.0,24,Python Fundamentals,Cloud Computing (AWS),Python Fundamentals,Deep Learning
INT_1299,Backend Dev,Physics,3.33,3,8.3,4.4,7.8,3.4,5.1,14.7,Video,No Preference,Medium,Laptop,5,"Data Visualization, Docker & Kubernetes, MLOps Pipelines, Git & Version Control, APIs & Microservices",55.6,0.38,5.5,Medium,3.4,117,Python Fundamentals,Cloud Computing (AWS),SQL & Databases,Python Fundamentals
INT_1300,Data Science,Mathematics,3.75,2,5.6,7.3,10.0,5.7,7.0,6.4,Reading,Night Owl,Medium,Laptop,0,,65.7,0.88,6.3,Low,4.8,43,Data Visualization,Data Visualization,Deep Learning,Machine Learning Basics
INT_1301,ML Engineering,Physics,4.0,2,7.4,3.3,5.4,7.1,4.6,9.7,Reading,Evening,Low,Mixed,5,"SQL & Databases, Deep Learning, Docker & Kubernetes, Statistics & Probability, Data Wrangling & Pandas",62.7,0.7,6.1,Medium,5.0,45,Python Fundamentals,Cloud Computing (AWS),Reinforcement Learning,MLOps Pipelines
INT_1302,Cybersecurity,Statistics,2.69,2,7.7,9.6,4.5,8.1,0.1,5.3,Hands-on Projects,Afternoon,Medium,Laptop,7,"Python Fundamentals, SQL & Databases, Data Visualization, Docker & Kubernetes, Cybersecurity Essentials, System Design, Git & Version Control",55.4,0.9,5.9,Low,3.5,29,Cloud Computing (AWS),APIs & Microservices,Cloud Computing (AWS),Business Intelligence & BI Tools
INT_1303,Product Management,Cognitive Science,3.2,1,4.9,8.5,2.9,4.5,2.1,3.5,Peer-learning,Afternoon,Low,Mixed,8,"SQL & Databases, Data Visualization, Statistics & Probability, A/B Testing & Experimentation, Data Wrangling & Pandas, Git & Version Control, Reinforcement Learning, Business Intelligence & BI Tools",61.7,0.86,5.7,Low,4.6,150,Python Fundamentals,Python Fundamentals,Frontend Basics (React),APIs & Microservices
INT_1304,Data Engineering,Mathematics,3.79,2,7.7,2.8,3.2,0.5,4.6,7.4,Hands-on Projects,Evening,High,Mixed,3,"Cloud Computing (AWS), Docker & Kubernetes, Time Series Analysis",80.8,0.8,6.7,Low,3.7,61,Python Fundamentals,Data Wrangling & Pandas,SQL & Databases,Git & Version Control
INT_1305,DevOps,Business Analytics,3.45,1,8.6,6.1,5.1,2.6,2.6,4.8,Hands-on Projects,Morning,Low,Tablet,3,"MLOps Pipelines, Git & Version Control, APIs & Microservices",84.0,0.45,5.2,Medium,5.0,97,Python Fundamentals,SQL & Databases,Docker & Kubernetes,System Design
INT_1306,DevOps,Business Analytics,3.28,2,5.9,2.7,2.7,0.0,2.9,8.3,Hands-on Projects,Afternoon,Low,Laptop,0,,65.3,0.87,6.6,Low,3.1,23,Python Fundamentals,System Design,Git & Version Control,Python Fundamentals
INT_1307,DevOps,Statistics,3.86,1,7.5,8.5,5.2,4.0,3.6,8.2,Video,Night Owl,High,Laptop,1,Reinforcement Learning,73.5,0.47,5.4,Medium,3.7,119,Python Fundamentals,SQL & Databases,MLOps Pipelines,Cybersecurity Essentials
INT_1308,Data Science,Information Systems,3.23,0,6.7,7.5,3.8,0.1,1.4,9.7,Peer-learning,Evening,Medium,Mixed,1,Machine Learning Basics,92.0,0.69,7.1,Medium,5.0,167,Data Visualization,Data Visualization,Deep Learning,Data Wrangling & Pandas
INT_1309,Frontend Dev,Statistics,3.38,3,2.2,6.4,3.7,7.3,0.0,7.4,Peer-learning,Morning,Low,Laptop,8,"Python Fundamentals, Data Visualization, Cloud Computing (AWS), Frontend Basics (React), NLP & Text Analytics, MLOps Pipelines, APIs & Microservices, Time Series Analysis",90.6,0.71,6.8,Medium,4.7,176,Git & Version Control,Git & Version Control,Statistics & Probability,A/B Testing & Experimentation
INT_1310,Frontend Dev,Information Systems,3.23,2,5.7,9.2,3.6,0.9,1.0,2.5,Peer-learning,Morning,High,Laptop,5,"Python Fundamentals, Data Visualization, Frontend Basics (React), Git & Version Control, APIs & Microservices",84.2,0.91,6.5,Low,4.3,33,SQL & Databases,Data Wrangling & Pandas,System Design,SQL & Databases
INT_1311,Backend Dev,Statistics,3.62,0,6.1,1.2,1.4,3.7,0.7,9.3,Video,Night Owl,Medium,Tablet,2,"Docker & Kubernetes, Data Wrangling & Pandas",67.2,0.72,6.3,Medium,4.9,115,Python Fundamentals,Git & Version Control,System Design,Python Fundamentals
INT_1312,Frontend Dev,Computer Science,3.26,2,8.8,7.4,4.5,9.5,5.9,6.6,Peer-learning,Night Owl,High,Mixed,2,"Python Fundamentals, Frontend Basics (React)",65.8,0.71,5.8,Medium,3.5,90,Data Visualization,APIs & Microservices,Git & Version Control,Data Visualization
INT_1313,Cloud Infrastructure,Economics,3.4,0,7.9,4.5,0.3,3.9,4.1,7.0,Video,Afternoon,High,Desktop,1,Cloud Computing (AWS),73.4,0.82,6.5,Low,5.0,91,Python Fundamentals,Cybersecurity Essentials,Docker & Kubernetes,MLOps Pipelines
INT_1314,ML Engineering,Economics,2.35,0,5.3,9.9,5.8,4.2,3.6,10.2,Hands-on Projects,Night Owl,Medium,Desktop,6,"SQL & Databases, Machine Learning Basics, Data Visualization, Statistics & Probability, NLP & Text Analytics, Git & Version Control",62.2,0.68,6.1,Medium,5.0,65,Python Fundamentals,Python Fundamentals,Data Wrangling & Pandas,System Design
INT_1315,Cloud Infrastructure,Business Analytics,2.29,1,5.9,3.2,3.7,6.1,1.3,7.3,Peer-learning,Afternoon,Medium,Tablet,0,,80.0,0.45,5.5,Medium,3.7,70,Python Fundamentals,Git & Version Control,APIs & Microservices,Python Fundamentals
INT_1316,Product Management,Cognitive Science,3.55,0,7.0,6.9,3.8,2.3,6.1,2.0,Mixed,Night Owl,Low,Tablet,4,"Python Fundamentals, SQL & Databases, Cloud Computing (AWS), Business Intelligence & BI Tools",68.3,0.8,5.5,Medium,3.0,113,Data Visualization,Statistics & Probability,A/B Testing & Experimentation,Data Visualization
INT_1317,Frontend Dev,Electrical Engineering,3.35,0,6.5,8.6,3.5,4.0,3.4,9.3,Peer-learning,Morning,High,Laptop,1,Business Intelligence & BI Tools,91.4,0.37,5.9,Medium,4.7,24,Python Fundamentals,Python Fundamentals,Git & Version Control,APIs & Microservices
INT_1318,Software Engineering,Economics,3.27,2,2.1,4.1,5.7,3.6,4.8,3.6,Mixed,Afternoon,Low,Mixed,0,,53.4,0.59,4.5,Medium,4.0,143,Python Fundamentals,SQL & Databases,Docker & Kubernetes,Cloud Computing (AWS)
INT_1319,Frontend Dev,Information Systems,3.43,0,6.4,5.5,9.4,4.6,2.6,6.7,Hands-on Projects,Evening,Medium,Mixed,6,"Python Fundamentals, Deep Learning, Frontend Basics (React), Statistics & Probability, A/B Testing & Experimentation, Data Wrangling & Pandas",62.8,0.79,6.0,Medium,5.0,173,Data Visualization,Git & Version Control,APIs & Microservices,Data Visualization
INT_1320,Frontend Dev,Mathematics,3.3,0,7.1,4.0,0.0,6.7,8.8,8.6,Video,Morning,High,Tablet,5,"Python Fundamentals, Data Visualization, Cloud Computing (AWS), APIs & Microservices, Business Intelligence & BI Tools",80.8,0.46,5.7,Medium,3.8,148,Frontend Basics (React),Frontend Basics (React),Git & Version Control,Machine Learning Basics
INT_1321,Frontend Dev,Bioinformatics,3.15,1,5.0,7.9,5.8,4.6,0.8,10.7,Mixed,No Preference,Medium,Tablet,7,"Python Fundamentals, Data Visualization, Cybersecurity Essentials, Frontend Basics (React), NLP & Text Analytics, APIs & Microservices, Business Intelligence & BI Tools",62.2,0.71,6.3,Medium,5.0,116,Git & Version Control,Git & Version Control,SQL & Databases,System Design
INT_1322,Frontend Dev,Cognitive Science,3.35,2,4.5,7.3,7.5,10.0,1.4,6.6,Hands-on Projects,Afternoon,Medium,Desktop,4,"Data Visualization, Cybersecurity Essentials, Frontend Basics (React), APIs & Microservices",82.7,0.77,6.6,Low,3.2,86,Python Fundamentals,Python Fundamentals,Git & Version Control,Data Wrangling & Pandas
INT_1323,Data Engineering,Business Analytics,3.7,0,9.0,7.1,8.9,0.9,5.8,3.0,Mixed,Night Owl,Medium,Laptop,2,"SQL & Databases, Business Intelligence & BI Tools",67.4,0.55,4.7,Medium,3.6,113,Python Fundamentals,Docker & Kubernetes,Cloud Computing (AWS),Time Series Analysis
INT_1324,Backend Dev,Physics,3.01,1,10.0,2.8,4.8,7.5,2.6,10.2,Hands-on Projects,Night Owl,Medium,Tablet,8,"Deep Learning, Cloud Computing (AWS), Cybersecurity Essentials, System Design, MLOps Pipelines, Data Wrangling & Pandas, Git & Version Control, APIs & Microservices",84.5,0.64,6.7,Medium,5.0,115,Python Fundamentals,SQL & Databases,Docker & Kubernetes,Python Fundamentals
INT_1325,Cloud Infrastructure,Physics,3.87,0,4.2,4.5,0.9,0.6,3.1,6.4,Reading,Afternoon,Low,Mixed,8,"Python Fundamentals, Data Visualization, Docker & Kubernetes, Cybersecurity Essentials, System Design, NLP & Text Analytics, Git & Version Control, APIs & Microservices",53.3,0.6,4.9,Medium,4.7,174,SQL & Databases,Cloud Computing (AWS),SQL & Databases,MLOps Pipelines
INT_1326,Product Management,Computer Science,4.0,0,1.7,4.8,4.6,0.5,4.7,6.3,Hands-on Projects,Evening,Low,Laptop,5,"SQL & Databases, Data Visualization, Statistics & Probability, A/B Testing & Experimentation, Business Intelligence & BI Tools",42.8,0.65,4.7,Medium,4.3,123,Python Fundamentals,Cybersecurity Essentials,Docker & Kubernetes,Time Series Analysis
INT_1327,Frontend Dev,Economics,3.15,2,4.9,7.3,3.4,4.2,0.1,9.7,Reading,Evening,Low,Tablet,4,"Python Fundamentals, SQL & Databases, Data Visualization, Git & Version Control",51.0,0.71,5.7,Medium,5.0,78,Frontend Basics (React),APIs & Microservices,Frontend Basics (React),Data Wrangling & Pandas
INT_1328,Backend Dev,Mathematics,4.0,2,5.9,8.6,9.3,1.9,4.6,8.8,Hands-on Projects,No Preference,Low,Desktop,2,"SQL & Databases, System Design",50.6,0.76,5.8,Medium,4.2,170,Python Fundamentals,APIs & Microservices,Data Wrangling & Pandas,Python Fundamentals
INT_1329,Data Engineering,Information Systems,3.21,1,2.4,7.8,8.2,1.2,3.2,7.5,Mixed,Morning,Medium,Tablet,6,"Python Fundamentals, SQL & Databases, Docker & Kubernetes, MLOps Pipelines, Data Wrangling & Pandas, Business Intelligence & BI Tools",51.7,0.87,6.0,Low,3.9,139,Data Visualization,Time Series Analysis,Statistics & Probability,Cloud Computing (AWS)
INT_1330,Cybersecurity,Business Analytics,3.42,1,6.6,9.8,4.4,5.7,1.7,4.1,Mixed,No Preference,High,Tablet,6,"Python Fundamentals, SQL & Databases, Cloud Computing (AWS), Docker & Kubernetes, Git & Version Control, APIs & Microservices",50.7,0.82,5.3,Medium,3.6,118,Cybersecurity Essentials,System Design,Cybersecurity Essentials,Machine Learning Basics
INT_1331,Cybersecurity,Mathematics,3.09,0,9.5,8.1,5.5,8.4,4.0,9.7,Peer-learning,Night Owl,Low,Laptop,4,"SQL & Databases, Cybersecurity Essentials, NLP & Text Analytics, Git & Version Control",55.5,0.78,6.1,Medium,4.5,119,Python Fundamentals,Cloud Computing (AWS),Docker & Kubernetes,Python Fundamentals
INT_1332,Backend Dev,Bioinformatics,3.32,2,4.1,4.4,5.4,1.6,4.0,5.5,Mixed,Evening,Low,Tablet,0,,93.7,0.97,7.5,Low,4.8,93,Python Fundamentals,Python Fundamentals,SQL & Databases,Git & Version Control
INT_1333,Data Engineering,Physics,2.8,0,5.5,5.9,3.9,4.5,4.2,12.9,Hands-on Projects,Evening,Medium,Laptop,6,"Python Fundamentals, SQL & Databases, Docker & Kubernetes, System Design, Statistics & Probability, MLOps Pipelines",83.0,0.9,8.0,Low,4.6,34,Data Visualization,APIs & Microservices,Data Visualization,Git & Version Control
INT_1334,ML Engineering,Information Systems,3.41,2,0.6,7.6,5.7,1.7,2.2,5.3,Reading,Morning,High,Laptop,2,"Python Fundamentals, Git & Version Control",86.2,0.63,6.0,Medium,5.0,36,SQL & Databases,SQL & Databases,A/B Testing & Experimentation,Statistics & Probability
INT_1335,Cloud Infrastructure,Information Systems,3.02,0,4.8,2.4,3.5,2.5,2.1,6.0,Peer-learning,Morning,Low,Mixed,4,"SQL & Databases, Machine Learning Basics, MLOps Pipelines, Git & Version Control",85.2,0.89,7.0,Low,4.2,51,Python Fundamentals,APIs & Microservices,System Design,Python Fundamentals
INT_1336,DevOps,Mathematics,3.24,2,8.3,8.0,5.4,1.1,2.5,2.9,Reading,Night Owl,Medium,Tablet,6,"Python Fundamentals, Cloud Computing (AWS), Cybersecurity Essentials, System Design, MLOps Pipelines, Git & Version Control",83.4,0.82,6.2,Low,3.9,65,SQL & Databases,SQL & Databases,APIs & Microservices,Docker & Kubernetes
INT_1337,Product Management,Statistics,2.14,0,6.0,8.1,2.7,3.6,3.1,13.0,Video,Evening,Low,Tablet,7,"Deep Learning, Data Visualization, Statistics & Probability, NLP & Text Analytics, A/B Testing & Experimentation, Git & Version Control, Business Intelligence & BI Tools",74.6,0.62,6.7,Medium,4.2,145,SQL & Databases,SQL & Databases,Frontend Basics (React),System Design
INT_1338,Cloud Infrastructure,Physics,3.7,0,6.7,6.3,2.4,3.7,4.8,3.2,Mixed,No Preference,High,Desktop,2,"Docker & Kubernetes, MLOps Pipelines",78.4,0.87,6.3,Low,3.7,119,Python Fundamentals,Cloud Computing (AWS),Cybersecurity Essentials,System Design
INT_1339,DevOps,Computer Science,4.0,0,10.0,6.9,7.6,0.5,6.1,4.0,Video,Night Owl,High,Mixed,4,"SQL & Databases, Docker & Kubernetes, Cybersecurity Essentials, Data Wrangling & Pandas",62.3,0.83,5.7,Medium,4.3,83,Python Fundamentals,Cloud Computing (AWS),APIs & Microservices,Python Fundamentals
INT_1340,Product Management,Cognitive Science,3.37,0,4.1,2.8,4.2,4.4,4.8,5.2,Reading,Evening,High,Desktop,3,"NLP & Text Analytics, Data Wrangling & Pandas, APIs & Microservices",74.7,0.82,6.3,Low,5.0,112,SQL & Databases,Business Intelligence & BI Tools,SQL & Databases,Data Visualization
INT_1341,Cloud Infrastructure,Statistics,3.11,0,3.6,8.5,3.0,0.5,5.6,10.8,Peer-learning,Morning,Low,Mixed,3,"System Design, MLOps Pipelines, APIs & Microservices",75.0,0.62,6.4,Medium,5.0,162,Python Fundamentals,Cloud Computing (AWS),Cybersecurity Essentials,Docker & Kubernetes
INT_1342,Data Science,Computer Science,2.78,1,9.5,7.9,7.5,4.8,7.5,6.3,Video,Morning,Medium,Desktop,8,"Machine Learning Basics, Deep Learning, Data Visualization, NLP & Text Analytics, A/B Testing & Experimentation, Data Wrangling & Pandas, APIs & Microservices, Time Series Analysis",61.3,0.6,5.2,Medium,5.0,76,SQL & Databases,Business Intelligence & BI Tools,SQL & Databases,Statistics & Probability
INT_1343,Cloud Infrastructure,Computer Science,2.9,1,5.1,5.9,3.7,5.1,4.7,8.8,Mixed,Morning,High,Laptop,1,APIs & Microservices,88.7,0.85,7.4,Low,4.3,30,Python Fundamentals,MLOps Pipelines,System Design,Git & Version Control
INT_1344,Software Engineering,Economics,3.25,0,9.1,8.0,5.0,4.4,1.3,6.7,Peer-learning,Morning,Low,Laptop,7,"Python Fundamentals, SQL & Databases, Cloud Computing (AWS), Frontend Basics (React), A/B Testing & Experimentation, Git & Version Control, APIs & Microservices",95.7,0.88,7.4,Low,4.2,20,Docker & Kubernetes,System Design,Data Wrangling & Pandas,Docker & Kubernetes
INT_1345,Cybersecurity,Statistics,3.31,0,8.1,7.0,2.4,1.4,3.3,10.3,Mixed,Afternoon,Medium,Tablet,7,"Python Fundamentals, Cybersecurity Essentials, System Design, Frontend Basics (React), A/B Testing & Experimentation, APIs & Microservices, Time Series Analysis",75.4,0.86,7.2,Low,3.6,116,SQL & Databases,Cloud Computing (AWS),Docker & Kubernetes,Git & Version Control
INT_1346,ML Engineering,Computer Science,3.94,3,6.2,4.5,3.6,8.5,5.2,9.4,Hands-on Projects,Afternoon,High,Desktop,0,,64.0,0.59,5.7,Medium,4.6,18,Python Fundamentals,Docker & Kubernetes,Cloud Computing (AWS),System Design
INT_1347,Data Engineering,Computer Science,3.11,2,7.6,8.6,3.8,4.1,3.6,8.7,Video,No Preference,High,Tablet,5,"Python Fundamentals, SQL & Databases, MLOps Pipelines, Data Wrangling & Pandas, Git & Version Control",63.3,0.85,6.5,Low,4.1,14,Data Visualization,Business Intelligence & BI Tools,System Design,Docker & Kubernetes
INT_1348,Frontend Dev,Electrical Engineering,2.84,0,4.2,5.7,2.8,4.2,5.1,8.3,Reading,Afternoon,Low,Desktop,4,"SQL & Databases, Cybersecurity Essentials, APIs & Microservices, Business Intelligence & BI Tools",59.8,0.85,6.3,Low,4.4,38,Python Fundamentals,Frontend Basics (React),Data Visualization,Git & Version Control
INT_1349,Product Management,Cognitive Science,3.59,0,8.4,5.5,4.9,6.5,7.4,8.3,Reading,Morning,High,Desktop,6,"SQL & Databases, Data Visualization, Cybersecurity Essentials, Statistics & Probability, A/B Testing & Experimentation, Business Intelligence & BI Tools",69.7,0.68,6.1,Medium,3.6,176,Python Fundamentals,Time Series Analysis,NLP & Text Analytics,Machine Learning Basics
INT_1350,ML Engineering,Cognitive Science,2.44,1,3.0,6.1,4.8,0.0,5.9,7.6,Video,No Preference,High,Tablet,2,"Machine Learning Basics, Git & Version Control",86.1,0.56,6.1,Medium,4.9,70,Python Fundamentals,Docker & Kubernetes,Cloud Computing (AWS),Statistics & Probability
INT_1351,Cloud Infrastructure,Business Analytics,2.93,2,3.8,4.3,6.5,5.1,3.2,8.3,Reading,Afternoon,High,Laptop,6,"SQL & Databases, Cybersecurity Essentials, System Design, MLOps Pipelines, Git & Version Control, APIs & Microservices",80.5,0.91,7.2,Low,3.1,97,Python Fundamentals,Python Fundamentals,Docker & Kubernetes,Cloud Computing (AWS)
